,AcX,AcY,AcZ,GyX,GyY,GyZ,Oc2,OcV,Occ,OcV2,time,id,Magnitude,Timestamp,Movement
118,-144,-336,-2762,2399,-1774,-264,1,0,1,30,2023-05-05 03:48:30,S120,1.360393625,2023-05-05 03:48:30,1
117,129,-157,-2996,-1262,142,1497,1,0,1,0,2023-05-05 03:48:30,S121,1.46625144,2023-05-05 03:48:30,1
116,-225,-320,-2307,2140,-737,-275,1,0,1,84,2023-05-05 03:48:31,S122,1.142544112,2023-05-05 03:48:31,1
115,323,-415,-2351,-1696,4390,-325,0,0,1,126,2023-05-05 03:48:31,S123,1.176317568,2023-05-05 03:48:31,1
113,-238,-337,-2400,-212,-627,-86,1,0,1,79,2023-05-05 03:48:31,S125,1.1890639,2023-05-05 03:48:31,1
13,-320,-221,-2599,-406,-383,222,1,0,1,35,2023-05-05 03:30:56,S225,1.283171353,2023-05-05 03:30:56,1
65,-157,-225,-2638,69,253,-90,1,0,1,5,2023-05-05 03:16:43,S173,1.29503363,2023-05-05 03:16:43,1
118,-258,-205,-2448,-213,-558,-316,1,0,1,4,2023-05-05 03:14:30,S120,1.206093532,2023-05-05 03:14:30,1
125,-471,-170,-2299,-636,-246,-14,1,0,1,82,2023-05-05 02:42:28,S113,1.148877326,2023-05-05 02:42:28,1
123,-26,-237,-2764,-183,-138,-146,1,0,1,30,2023-05-05 02:42:29,S115,1.354621116,2023-05-05 02:42:29,1
111,-331,-223,-2434,-449,-1142,-70,1,0,1,0,2023-05-05 02:42:32,S127,1.204348054,2023-05-05 02:42:32,1
118,-197,-215,-2592,-307,-57,-106,1,0,1,0,2023-05-05 02:38:30,S120,1.273609173,2023-05-05 02:38:30,1
63,-183,-208,-2614,-309,-61,-126,1,0,1,66,2023-05-05 02:38:44,S175,1.283515695,2023-05-05 02:38:44,1
22,-400,-220,-2394,-280,-804,-112,1,0,1,76,2023-05-05 02:37:54,S216,1.190008225,2023-05-05 02:37:54,1
3,-367,-228,-2405,-274,-648,-143,1,0,1,26,2023-05-05 02:37:59,S235,1.193115809,2023-05-05 02:37:59,1
17,-373,-224,-2409,-283,-924,-87,1,0,1,9,2023-05-05 02:33:55,S221,1.195300732,2023-05-05 02:33:55,1
213,-191,-214,-2583,-268,-174,-130,1,0,1,21,2023-05-05 02:32:06,S25,1.268983318,2023-05-05 02:32:06,1
